test, size, PKG, CPU, GPU, DRAM, time
tinycrypt_hermes, 2000000, 6.568237304687500000, 5.708984375000000000, , 0.176208496093750000, 1031.95
tinycrypt_hermes, 2000000, 6.565490722656250000, 5.709106445312500000, , 0.177062988281250000, 1032.7
tinycrypt_hermes, 2000000, 6.631774902343750000, 5.774108886718750000, , 0.175903320312500000, 1031.06
tinycrypt_hermes, 2000000, 6.532470703125000000, 5.672973632812500000, , 0.176452636718750000, 1033.36
tinycrypt_hermes, 2000000, 6.593994140625000000, 5.714416503906250000, , 0.177062988281250000, 1035.36
tinycrypt_hermes, 2000000, 6.555175781250000000, 5.697448730468750000, , 0.176208496093750000, 1033.63
tinycrypt_hermes, 2000000, 6.640258789062500000, 5.777160644531250000, , 0.176391601562500000, 1031.57
tinycrypt_hermes, 2000000, 6.520080566406250000, 5.654785156250000000, , 0.175903320312500000, 1033.2
tinycrypt_hermes, 2000000, 6.528686523437500000, 5.663574218750000000, , 0.176269531250000000, 1033.14
tinycrypt_hermes, 2000000, 6.566772460937500000, 5.682556152343750000, , 0.176391601562500000, 1033.51
tinycrypt_hermes, 2000000, 6.628051757812500000, 5.766174316406250000, , 0.176391601562500000, 1032.02
tinycrypt_hermes, 2000000, 6.545349121093750000, 5.685546875000000000, , 0.177062988281250000, 1034.15
tinycrypt_hermes, 2000000, 6.637207031250000000, 5.775939941406250000, , 0.175903320312500000, 1031.19
tinycrypt_hermes, 2000000, 6.519042968750000000, 5.658813476562500000, , 0.176025390625000000, 1032.86
tinycrypt_hermes, 2000000, 6.542663574218750000, 5.661804199218750000, , 0.176330566406250000, 1033.82
tinycrypt_hermes, 2000000, 6.531738281250000000, 5.668701171875000000, , 0.175903320312500000, 1033.03
tinycrypt_hermes, 2000000, 6.521606445312500000, 5.657897949218750000, , 0.175903320312500000, 1033.07
tinycrypt_hermes, 2000000, 6.590576171875000000, 5.726989746093750000, , 0.176208496093750000, 1031.94
tinycrypt_hermes, 2000000, 6.587524414062500000, 5.723327636718750000, , 0.176452636718750000, 1031.79
tinycrypt_hermes, 2000000, 6.581665039062500000, 5.708374023437500000, , 0.176330566406250000, 1033.5
tinycrypt_hermes, 2000000, 6.617309570312500000, 5.759521484375000000, , 0.176208496093750000, 1032.73
tinycrypt_hermes, 2000000, 6.510498046875000000, 5.652038574218750000, , 0.176025390625000000, 1033.78
tinycrypt_hermes, 2000000, 6.594360351562500000, 5.731994628906250000, , 0.176086425781250000, 1031.32
tinycrypt_hermes, 2000000, 6.525085449218750000, 5.661560058593750000, , 0.176635742187500000, 1035.27
tinycrypt_hermes, 2000000, 6.551269531250000000, 5.682067871093750000, , 0.176147460937500000, 1032.87
tinycrypt_hermes, 2000000, 6.539672851562500000, 5.673522949218750000, , 0.176452636718750000, 1033.7
